source,network
houmathibodauxnews,metric_media
labusinessdaily,UNKNOWN
lafayettereporter,metric_media
louisianarecord,the_record
nelouisiananews,metric_media
nolareporter,metric_media
northacadiananews,metric_media
northshorelanews,UNKNOWN
nwlouisiananews,metric_media
pelicanstatenews,metric_media
riverparishnews,metric_media
shreveportreporter,metric_media
southlouisiananews,metric_media
swlouisiananews,metric_media
westbanklanews,UNKNOWN
maghrebnewswire,UNKNOWN
aroostooknews,metric_media
downeasttimes,metric_media
lewistontimes,metric_media
mainebusinessdaily,franklin_archer
mainehighlandsnews,metric_media
mainelakesnews,metric_media
midcoasttoday,metric_media
pinestatenews,metric_media
portlandmainenews,metric_media
rivervalleytoday,metric_media
southmainenews,metric_media
unitymaineguide,UNKNOWN
annearundeltoday,metric_media
baltimorecitywire,metric_media
harfordnews,metric_media
howardconews,UNKNOWN
mdbusinessdaily,UNKNOWN
mdstatewire,UNKNOWN
montgomerymdnews,UNKNOWN
northbaltimorejournal,metric_media
baystatenews,metric_media
beantowntimes,metric_media
bristolreporter,metric_media
capecodledger,metric_media
mabusinessdaily,UNKNOWN
merrimackvalleynews,metric_media
metrowesttimes,metric_media
midmassnews,UNKNOWN
ncmassnews,UNKNOWN
norfolkreporter,metric_media
northbostonnews,metric_media
plymouthreporter,metric_media
springfieldrecord,UNKNOWN
westmassnews,UNKNOWN
mexicobusinessdaily,UNKNOWN
annarbortimes,metric_media
baragaguide,franklin_archer
battlecreektimes,metric_media
branchguide,franklin_archer
detroitcitywire,metric_media
downrivertoday,metric_media
easternwaynetoday,metric_media
eastmichigannews,metric_media
geneseenews,metric_media
grandrapidsreporter,metric_media
greatlakeswire,metric_media
hollandreporter,metric_media
kalamazootimes,metric_media
lansingreporter,UNKNOWN
lansingsun,metric_media
livingstontoday,metric_media
macombtoday,metric_media
mibusinessdaily,UNKNOWN
micapitolnews,UNKNOWN
micatholictribune,UNKNOWN
monroereview,metric_media
munisingguide,franklin_archer
muskegonsun,metric_media
northkentnews,metric_media
northmichigannews,metric_media
novitimes,metric_media
nwwaynenews,metric_media
ontonagonguide,franklin_archer
pontiactimes,metric_media
segrandrapids,UNKNOWN
seoaklandnews,metric_media
shelbyreview,metric_media
shiawasseetimes,metric_media
southkentnews,metric_media
southmichigannews,metric_media
stclairtoday,metric_media
stjoebentonharbor,UNKNOWN
sturgiscoldwaternews,metric_media
thumbreporter,metric_media
